Card #,Hero,Variation,Treatment,Weapon,Notation,Power,Athlete Inspiration,Play Cost,Play Ability
1,LeBoss,First Edition,Base Set,Fire,,135,Lebron James,0,
2,Merlomes,First Edition,Base Set,Fire,,135,Patrick Mahomes,0,
3,Chosen,First Edition,Base Set,Fire,,135,Juan Soto,0,
4,Midas,First Edition,Base Set,Fire,,135,Steph Curry,0,
5,Bison,First Edition,Base Set,Fire,,135,Josh Allen,0,
6,Wargod,First Edition,Base Set,Fire,,135,Mike Trout,0,
7,Donny Buckets,First Edition,Base Set,Fire,,130,Luka Doncic,0,
8,Warp,First Edition,Base Set,Fire,,130,Lamar Jackson,0,
9,Harpoon,First Edition,Base Set,Fire,,130,Bryca Harper,0,
10,Mustang,First Edition,Base Set,Fire,,130,Nikola Jokic,0,
11,Jaybird,First Edition,Base Set,Fire,,130,Jayden Daniels,0,
12,J-Jetts,First Edition,Base Set,Fire,,130,Justin Jefferson,0,
13,Merri-Go-Round,First Edition,Base Set,Fire,,125,Jackson Marrill,0,
14,Shystep,First Edition,Base Set,Fire,,125,Shai Gilgeous-Alexander,0,
15,Ram,First Edition,Base Set,Fire,,125,Jose Ramirez,0,
16,Freakshow,First Edition,Base Set,Fire,,125,Giannis Anteokounmpo,0,
17,Lightningrod,First Edition,Base Set,Fire,,125,Julio Rodriguez,0,
18,Bayou,First Edition,Base Set,Fire,,125,Ja'marr Chase,0,
19,McArmyKnife,First Edition,Base Set,Fire,,120,Christian McCaffrey,0,
20,Tigre,First Edition,Base Set,Fire,,120,Miguel Cabrera,0,
21,Cheetah,First Edition,Base Set,Fire,,120,Tyreek Hill,0,
22,Spider,First Edition,Base Set,Fire,,120,Donovan Mitchell,0,
23,Crews-Missle,First Edition,Base Set,Fire,,120,Dylan Crews,0,
24,Unibrow,First Edition,Base Set,Fire,,120,Anthony Davis,0,
25,Exterminaber,First Edition,Base Set,Fire,,115,Malik Nabers,0,
26,Bomber,First Edition,Base Set,Fire,,115,Jordan Alvarez,0,
27,Juice,First Edition,Base Set,Fire,,115,Jaylen Brown,0,
28,Attak,First Edition,Base Set,Fire,,115,Dak Prescott,0,
29,ChetMate,First Edition,Base Set,Fire,,115,Chet Holmgren,0,
30,Phoenix,First Edition,Base Set,Fire,,115,Bo Nix,0,
31,Lieutenant,First Edition,Base Set,Fire,,110,Dansby Swanson,0,
32,Snowbear,First Edition,Base Set,Fire,,110,Pete Alonso,0,
33,Boltage,First Edition,Base Set,Fire,,110,Justin Herbert,0,
34,Librarian,First Edition,Base Set,Fire,,110,Devin Booker,0,
35,Aeronaut,First Edition,Base Set,Fire,,110,Nolan Arenado,0,
36,Sabotage,First Edition,Base Set,Fire,,110,Domantas Sabonis,0,
37,Mic'd Up,First Edition,Base Set,Fire,,105,MIke Evans,0,
38,Jambox,First Edition,Base Set,Fire,,105,Ja Morant,0,
39,Simon Says,First Edition,Base Set,Fire,,105,Anfernee Simons,0,
40,Mr. Irrelevant,First Edition,Base Set,Fire,,105,Brock Purdy,0,
41,Pantera,First Edition,Base Set,Fire,,105,Luis Robert Jr,0,
42,Rockstar,First Edition,Base Set,Fire,,105,Jazz Chisholm,0,
43,Big-Z,First Edition,Base Set,Fire,,100,Zion Williamson,0,
44,Clutch,First Edition,Base Set,Fire,,100,Andrew McCutchen,0,
45,PukaDot,First Edition,Base Set,Fire,,100,Puka Nacua,0,
46,Sprinkler,First Edition,Base Set,Fire,,100,Luis Arraez,0,
47,Foxhole,First Edition,Base Set,Fire,,100,De'Aaron Fox,0,
48,Thomstone,First Edition,Base Set,Fire,,100,Brian Thomas Jr,0,
49,Botto,First Edition,Base Set,Fire,,95,Joey Votto,0,
50,Lawman,First Edition,Base Set,Fire,,95,Trevor Lawrence,0,
51,Barnacle,First Edition,Base Set,Fire,,95,Scottie Barnes,0,
52,Laviathan,First Edition,Base Set,Fire,,95,Zach Lavine,0,
53,Breeze,First Edition,Base Set,Fire,,95,Breece Hall,0,
54,Gravedigger,First Edition,Base Set,Fire,,95,Stefon Diggs,0,
