Card #,Hero,Variation,Treatment,Weapon,Notation,Power,Athlete Inspiration,Play Cost,Play Ability
BL-P1,Bojax,Founding Hero,PINK BLAST,HEX,,200,Bo Jackson,0,
BL-P2,A.I.,Allen Iverson Debut,PINK BLAST,HEX,,200,Allen Iverson,0,
BL-P3,Young-Gunner,Steve Young Debut,PINK BLAST,HEX,,200,Steve Young,0,
BL-P4,Leducky,Brandi Chastain Debut,PINK BLAST,HEX,,200,Katie Ledecky,0,
BL-P5,Boz,Brian Bosworth Debut,PINK BLAST,HEX,,195,Brian Bosworth,0,
BL-P6,Cruschman,Adley Rutshman Debut,PINK BLAST,HEX,,195,Adley Rutschman,0,
BL-P7,Allenwrench,Marcus Allen Debut,PINK BLAST,HEX,,195,Marcus Allen,0,
BL-P8,Star-Bach,Roger Staubach Debut,PINK BLAST,HEX,,190,Roger Staubach,0,
BL-P9,Grand-Ma-Ma,Larry Johnson Debut,PINK BLAST,HEX,,190,Larry Johnson,0,
BL-P10,Amon-Ra,Amon-Ra St. Brown Debut,PINK BLAST,HEX,,190,Amon-Ra St. Brown,0,
BL-P11,Waddler,Jaylen Waddle Debut,PINK BLAST,HEX,,185,Jaylen Waddle,0,
BL-P12,Donnie Baseball,Don Mattingly Debut,PINK BLAST,HEX,,185,Don Mattingly,0,
BL-P13,Boshpit,Chris Bosh Debut,PINK BLAST,HEX,,185,Chris Bosh,0,
BL-P14,Thurmanator,Thuman Thomas Debut,PINK BLAST,HEX,,180,Thurman Thomas,0,
BL-P15,Flutie,Doug Flutie Debut,PINK BLAST,HEX,,180,Doug Flutie,0,
BL-P16,Green-Machine,Jalen Green Debut,PINK BLAST,HEX,,180,Jalen Green,0,
BL-P17,KAT,Karl-Anthony Towns Debut,PINK BLAST,HEX,,180,Karl-Anthony Towns,0,
BL-P18,Mean-Joe,Joe Greene Debut,PINK BLAST,HEX,,180,Mean Joe Greene,0,
BL-P19,Chief,Robert Parish Debut,PINK BLAST,HEX,,180,Robert Parish,0,
BL-P20,Thrill,Will Clark Debut,PINK BLAST,HEX,,175,Will Clark,0,
BL-P21,Frostebite,Trae Young Debut,PINK BLAST,HEX,,175,Trae Young,0,
BL-P22,Blockhale,Kevin McHale Debut,PINK BLAST,HEX,,175,Kevin Mchale,0,
BL-P23,Timmy,Tim Brown Debut,PINK BLAST,HEX,,175,Tim Brown,0,
BL-P24,Palmer,Jim Palmer Debut,PINK BLAST,HEX,,175,Jim Palmer,0,
BL-P25,Thighs Man,Joe Theisman,PINK BLAST,HEX,,175,Joe Theismann,0,
BL-P26,Rodder,Rod Smith Debut,PINK BLAST,HEX,,170,Rod Smith,0,
BL-P27,Awesome Dawson,Andre Dawson Debut,PINK BLAST,HEX,,170,Andre Dawson,0,
BL-P28,Line-Art,Matt Leinart Debut,PINK BLAST,HEX,,170,Matt Leinart,0,
BL-P29,Swoopes,Sheryl Swoopes Debut,PINK BLAST,HEX,,170,Sheryl Swoopes,0,
BL-P30,Smoke,Dave Stewart Debut,PINK BLAST,HEX,,170,Dave Stewart,0,
BL-P31,Man of Steal,Vince Coleman Debut,PINK BLAST,HEX,,170,Vince Coleman,0,
BL-P32,Showtime,First Edition,PINK BLAST,HEX,,185,Shohei Ohtani,0,
BL-P33,Matata,First Edition,PINK BLAST,HEX,,185,Ronald Acuna Jr.,0,
BL-P34,Gaveler,First Edition,PINK BLAST,HEX,,185,Aaron Judge,0,
BL-P35,Burrocious,First Edition,PINK BLAST,HEX,,185,Joe Burrow,0,
BL-P36,Victory,First Edition,PINK BLAST,HEX,,185,Victor Wembenyama,0,
BL-P37,Shrouded,First Edition,PINK BLAST,HEX,,180,CJ Stroud,0,
BL-P38,Taze'em,First Edition,PINK BLAST,HEX,,180,Jayson Tatum,0,
BL-P39,Caliber,First Edition,PINK BLAST,HEX,,180,Caleb Williams,0,
BL-P40,C.C.,First Edition,PINK BLAST,HEX,,180,Caitlin Clark,0,
BL-P41,Doublecheck,First Edition,PINK BLAST,HEX,,180,Aaron Rodgers,0,
BL-P42,Cobra,First Edition,PINK BLAST,HEX,,175,Kevin Durant,0,
BL-P43,Cruze-Control,First Edition,PINK BLAST,HEX,,175,Elly De La Cruz,0,
BL-P44,Processor,First Edition,PINK BLAST,HEX,,175,Joel Embiid,0,
BL-P45,Burner,First Edition,PINK BLAST,HEX,,175,Jalen Brunson,0,
BL-P46,Cowboy,First Edition,PINK BLAST,HEX,,175,Corey Seager,0,
BL-P47,Yeti,First Edition,PINK BLAST,HEX,,170,Travis Kelce,0,
BL-P48,Tattoo,First Edition,PINK BLAST,HEX,,170,Fernando Tatis Jr.,0,
BL-P49,Superbaby,First Edition,PINK BLAST,HEX,,170,Rafael Devers,0,
BL-P50,Jeesaw,First Edition,PINK BLAST,HEX,,170,Najee Harris,0,
BL-P51,Tongue-Twister,First Edition,PINK BLAST,HEX,,170,Tua Tagovailoa,0,
BL-P52,Halo,First Edition,PINK BLAST,HEX,,165,Angel Reese,0,
BL-P53,Eagle-Eye,First Edition,PINK BLAST,HEX,,165,Jalen Hurts,0,
BL-P54,Turntable,First Edition,PINK BLAST,HEX,,165,Trea Turner,0,
BL-P55,Bandelero,First Edition,PINK BLAST,HEX,,165,Paolo Banchero,0,
BL-P56,Marverati,First Edition,PINK BLAST,HEX,,165,Marvin Harrison Jr.,0,
BL-P57,Action,First Edition,PINK BLAST,HEX,,160,Jackson Holliday,0,
BL-P58,Vampire,First Edition,PINK BLAST,HEX,,160,Vladimir Guerrero Jr.,0,
BL-P59,Jeeves,First Edition,PINK BLAST,HEX,,160,Jimmy Butler,0,
BL-P60,Carroller,First Edition,PINK BLAST,HEX,,160,Corbin Carroll,0,
BL-P61,Draco,First Edition,PINK BLAST,HEX,,160,Drake Maye,0,
BL-P62,Cha-Ching,First Edition,PINK BLAST,HEX,,155,Jackson Chourio,0,
BL-P63,Time,First Edition,PINK BLAST,HEX,,155,Damian Lillard,0,
BL-P64,Fungi,First Edition,PINK BLAST,HEX,,155,Kawhi Leonard,0,
BL-P65,Wild Beard,First Edition,PINK BLAST,HEX,,155,James Harden,0,
BL-P66,Shepherd,First Edition,PINK BLAST,HEX,,155,Ceedee Lamb,0,
BL-P67,Ollie,First Edition,PINK BLAST,HEX,,150,Matt Olson,0,
BL-P68,Tank,First Edition,PINK BLAST,HEX,,150,Derrick Henry,0,
BL-P69,Grin,First Edition,PINK BLAST,HEX,,150,Fracisco Lindor,0,
BL-P70,Bammer,First Edition,PINK BLAST,HEX,,150,Bam Adebayo,0,
BL-P71,Barreler,First Edition,PINK BLAST,HEX,,150,Cooper Kupp,0,
BL-P72,Cupid,First Edition,PINK BLAST,HEX,,145,Jordan Love,0,
BL-P73,Javalanche,First Edition,PINK BLAST,HEX,,145,Jamal Murray,0,
BL-P74,Bionic,First Edition,PINK BLAST,HEX,,145,Carlos Correa,0,
BL-P75,Stitcher,First Edition,PINK BLAST,HEX,,145,Jonathan Taylor,0,
BL-P76,Triple Threat,First Edition,PINK BLAST,HEX,,145,Lamelo Ball,0,
BL-P77,BoJax,Founding Hero Alpha Update,PINK BLAST,HEX,,200,Bo Jackson,0,
BL-P78,Magic,Magic Johnson Debut,PINK BLAST,HEX,,200,Magic Johnson,0,
BL-P79,Emmitt-164,Emmitt Smith Debut,PINK BLAST,HEX,,200,Emmitt Smith,0,
BL-P80,Marino,Dan Marino Debut,PINK BLAST,HEX,,200,Dan Marino,0,
BL-P81,"Barry ""Cutback"" Sanders",Barry Sanders Debut,PINK BLAST,HEX,,200,Barry Sanders,0,
BL-P82,Muggsy,Muggsy Bogues Debut,PINK BLAST,HEX,,195,Muggsy Bogues,0,
BL-P83,Spudnick,Spudd Webb Debut,PINK BLAST,HEX,,195,Spudd Webb,0,
BL-P84,The Ironman,Cal Ripkin JR Debut,PINK BLAST,HEX,,195,Cal Ripkin JR,0,
BL-P85,Peek-A-Boo,Picabo Street Debut,PINK BLAST,HEX,,195,Picabo Street,0,
BL-P86,Wizard,Ozzie Smith Debut,PINK BLAST,HEX,,190,Ozzie Smith,0,
