Card #,Hero,Variation,Treatment,Weapon,Notation,Power,Athlete Inspiration,Play Cost,Play Ability
S-01/100,BoJax,Starter,Paper,Fire,,100,Bo Jackson,0,
S-02/100,BoJax,Starter,Paper,Steel,,100,Bo Jackson,0,
S-03/100,BoJax,Starter,Paper,Ice,,100,Bo Jackson,0,
S-04/100,Chosen,Starter,Paper,Fire,,75,Juan Soto,0,
S-05/100,Chosen,Starter,Paper,Steel,,75,Juan Soto,0,
S-06/100,Chosen,Starter,Paper,Ice,,75,Juan Soto,0,
S-07/100,Gambler,Starter,Paper,Fire,,55,Mookie Betts,0,
S-08/100,Gambler,Starter,Paper,Steel,,55,Mookie Betts,0,
S-09/100,Gambler,Starter,Paper,Ice,,55,Mookie Betts,0,
S-10/100,Gigawitt,Starter,Paper,Fire,,55,Bobby Witt Jr.,0,
S-11/100,Gigawitt,Starter,Paper,Steel,,55,Bobby Witt Jr.,0,
S-12/100,Gigawitt,Starter,Paper,Ice,,55,Bobby Witt Jr.,0,
S-13/100,Matata,Starter,Paper,Fire,,85,Ronald Acuna Jr.,0,
S-14/100,Matata,Starter,Paper,Steel,,85,Ronald Acuna Jr.,0,
S-15/100,Matata,Starter,Paper,Ice,,85,Ronald Acuna Jr.,0,
S-16/100,Showtime,Starter,Paper,Fire,,95,Shohei Ohtani,0,
S-17/100,Showtime,Starter,Paper,Steel,,95,Shohei Ohtani,0,
S-18/100,Showtime,Starter,Paper,Ice,,95,Shohei Ohtani,0,
S-19/100,Wargod,Starter,Paper,Fire,,70,Mike Trout,0,
S-20/100,Wargod,Starter,Paper,Steel,,70,Mike Trout,0,
S-21/100,Wargod,Starter,Paper,Ice,,70,Mike Trout,0,
S-22/100,Bison,Starter,Paper,Fire,,85,John Allen,0,
S-23/100,Bison,Starter,Paper,Steel,,85,John Allen,0,
S-24/100,Bison,Starter,Paper,Ice,,85,John Allen,0,
S-25/100,Cheetah,Starter,Paper,Fire,,65,Tyreek Hill,0,
S-26/100,Cheetah,Starter,Paper,Steel,,65,Tyreek Hill,0,
S-27/100,Cheetah,Starter,Paper,Ice,,65,Tyreek Hill,0,
S-28/100,J-Jetts,Starter,Paper,Fire,,75,Justin Jefferson,0,
S-29/100,J-Jetts,Starter,Paper,Steel,,75,Justin Jefferson,0,
S-30/100,J-Jetts,Starter,Paper,Ice,,75,Justin Jefferson,0,
S-31/100,McArmyKnife,Starter,Paper,Fire,,65,Christian McCaffery,0,
S-32/100,McArmyKnife,Starter,Paper,Steel,,65,Christian McCaffery,0,
S-33/100,McArmyKnife,Starter,Paper,Ice,,65,Christian McCaffery,0,
S-34/100,Merlomes,Starter,Paper,Fire,,95,Patrick Mahomes,0,
S-35/100,Merlomes,Starter,Paper,Steel,,95,Patrick Mahomes,0,
S-36/100,Merlomes,Starter,Paper,Ice,,95,Patrick Mahomes,0,
S-37/100,Warp,Starter,Paper,Fire,,80,Lamar Jackson,0,
S-38/100,Warp,Starter,Paper,Steel,,80,Lamar Jackson,0,
S-39/100,Warp,Starter,Paper,Ice,,80,Lamar Jackson,0,
S-40/100,Ant Hill,Starter,Paper,Fire,,80,Anthony Edwards,0,
S-41/100,Ant Hill,Starter,Paper,Steel,,80,Anthony Edwards,0,
S-42/100,Ant Hill,Starter,Paper,Ice,,80,Anthony Edwards,0,
S-43/100,Donny Buckets,Starter,Paper,Fire,,70,Luka Doncic,0,
S-44/100,Donny Buckets,Starter,Paper,Steel,,70,Luka Doncic,0,
S-45/100,Donny Buckets,Starter,Paper,Ice,,70,Luka Doncic,0,
S-46/100,Freakshow,Starter,Paper,Fire,,60,Giannis Antetetokounmpo,0,
S-47/100,Freakshow,Starter,Paper,Steel,,60,Giannis Antetetokounmpo,0,
S-48/100,Freakshow,Starter,Paper,Ice,,60,Giannis Antetetokounmpo,0,
S-49/100,LeBoss,Starter,Paper,Fire,,90,Lebron James,0,
S-50/100,LeBoss,Starter,Paper,Steel,,90,Lebron James,0,
S-51/100,LeBoss,Starter,Paper,Ice,,90,Lebron James,0,
S-52/100,Midas,Starter,Paper,Fire,,85,Steph Curry,0,
S-53/100,Midas,Starter,Paper,Steel,,85,Steph Curry,0,
S-54/100,Midas,Starter,Paper,Ice,,85,Steph Curry,0,
S-55/100,Mustang,Starter,Paper,Fire,,90,Nikola Jokic,0,
S-56/100,Mustang,Starter,Paper,Steel,,90,Nikola Jokic,0,
S-57/100,Mustang,Starter,Paper,Ice,,90,Nikola Jokic,0,
S-58/100,Shystep,Starter,Paper,Fire,,60,Shai Gilgeous-Alexander,0,
S-59/100,Shystep,Starter,Paper,Steel,,60,Shai Gilgeous-Alexander,0,
S-60/100,Shystep,Starter,Paper,Ice,,60,Shai Gilgeous-Alexander,0,
S-61/100,1-4-1 Hero,Starter Play,Plays,,,0,,0,
S-62/100,1-4-1 Play,Starter Play,Plays,,,0,,0,
S-63/100,Adding Depth,Starter Play,Plays,,,0,,0,
S-64/100,Crystal Ball,Starter Play,Plays,,,0,,0,
S-65/100,Dog Gone Inflation,Starter Play,Plays,,,0,,0,
S-66/100,Don't Call it a Comeback,Starter Play,Plays,,,0,,0,
S-67/100,Double or Nothin,Starter Play,Plays,,,0,,0,
S-68/100,Gavel of Justice,Starter Play,Plays,,,0,,0,
S-69/100,Heads-Up!,Starter Play,Plays,,,0,,0,
S-70/100,Jump Ball,Starter Play,Plays,,,0,,0,
S-71/100,Late Game Lockdown,Starter Play,Plays,,,0,,0,
S-72/100,Late-Game Magic,Starter Play,Plays,,,0,,0,
S-73/100,Loan Sharked,Starter Play,Plays,,,0,,0,
S-74/100,Lucky 7,Starter Play,Plays,,,0,,0,
S-75/100,Lucky Bounce,Starter Play,Plays,,,0,,0,
S-76/100,No Huddle,Starter Play,Plays,,,0,,0,
S-77/100,Robin Who,Starter Play,Plays,,,0,,0,
S-78/100,Pinch HItter,Starter Play,Plays,,,0,,0,
S-79/100,Prevent D,Starter Play,Plays,,,0,,0,
S-80/100,Pulling the Plug,Starter Play,Plays,,,0,,0,
S-81/100,Rally Cap,Starter Play,Plays,,,0,,0,
S-82/100,Random Bench Ejection,Starter Play,Plays,,,0,,0,
S-83/100,Rebuild,Starter Play,Plays,,,0,,0,
S-84/100,Rob Peter Pay Paul,Starter Play,Plays,,,0,,0,
S-85/100,Shooters Shoot,Starter Play,Plays,,,0,,0,
S-86/100,The Champion's Lasso,Starter Play,Plays,,,0,,0,
S-87/100,To Fight Another Day,Starter Play,Plays,,,0,,0,
S-88/100,Tough Call,Starter Play,Plays,,,0,,0,
S-89/100,Waiver Wire Pickup,Starter Play,Plays,,,0,,0,
S-90/100,Win the Toss,Starter Play,Plays,,,0,,0,
S-91/100,Dirty Water Dan,,Hotdogs,,,0,,0,
S-92/100,Coney Carl,,Hotdogs,,,0,,0,
S-93/100,Wurst Wayne,,Hotdogs,,,0,,0,
S-94/100,Mustard Man,,Hotdogs,,,0,,0,
S-95/100,Pickle Pete,,Hotdogs,,,0,,0,
S-96/100,Sammy Sausage,,Hotdogs,,,0,,0,
S-97/100,Brat Wurst,,Hotdogs,,,0,,0,
S-98/100,Grillbert,,Hotdogs,,,0,,0,
S-99/100,Dijon Don,,Hotdogs,,,0,,0,
S-100/100,Frank,,Hotdogs,,,0,,0,
S-01/100,BoJax,Starter,Paper Serialized,Fire,/34,100,,0,
S-02/100,Bojax,Starter,Paper Serialized,Steel,/16,100,,0,
S-03/100,BoJax,Starter,Paper Serialized,Ice,/8,100,,0,
S-101/100,Bojax,Secret Starter,Paper,GLOW,,110,,0,
S-102/100,LeBoss,Secret Starter,Paper,GLOW,,100,,0,
S-103/100,Freakshow,Secret Starter,Paper,GLOW,,100,,0,
S-104/100,Merlomes,Secret Starter,Paper,GLOW,,100,,0,
S-105/100,McArmyKnife,Secret Starter,Paper,GLOW,,100,,0,
S-106/100,Showtime,Secret Starter,Paper,GLOW,,100,,0,
S-107/100,Matata,Secret Starter,Paper,GLOW,,100,,0,
S-101/100,Bojax,Secret Starter,Battlefoil,GLOW,,110,,0,
S-102/100,LeBoss,Secret Starter,Battlefoil,GLOW,,100,,0,
S-103/100,Freakshow,Secret Starter,Battlefoil,GLOW,,100,,0,
S-104/100,Merlomes,Secret Starter,Battlefoil,GLOW,,100,,0,
S-105/100,McArmyKnife,Secret Starter,Battlefoil,GLOW,,100,,0,
S-106/100,Showtime,Secret Starter,Battlefoil,GLOW,,100,,0,
S-107/100,Matata,Secret Starter,Battlefoil,GLOW,,100,,0,
S-101/100,Bojax,Secret Starter,Serialized Battlefoil,GLOW,/50,100,,0,
S-102/100,LeBoss,Secret Starter,Serialized Battlefoil,GLOW,/50,100,,0,
S-103/100,Freakshow,Secret Starter,Serialized Battlefoil,GLOW,/50,100,,0,
S-104/100,Merlomes,Secret Starter,Serialized Battlefoil,GLOW,/50,100,,0,
S-105/100,McArmyKnife,Secret Starter,Serialized Battlefoil,GLOW,/50,100,,0,
S-106/100,Showtime,Secret Starter,Serialized Battlefoil,GLOW,/50,100,,0,
S-107/100,Matata,Secret Starter,Serialized Battlefoil,GLOW,/50,100,,0,
S-101A,BoJax,Secret Starter,Inspired Ink Battlefoil,GLOW,/99,110,,0,
